"item","definition","uni_lemma","type","IPA"
1,"baa baa","baa baa","word"," bˈɑː bˈɑː"
2,"choo choo","choo choo","word"," tʃˈuː tʃˈuː"
3,"cockadoodledoo","cockadoodledoo","word"," kˈɑːkɐdˌuːdəLdˌuː"
4,"grrr","grrr","word"," dʒˌiːˌɑːɹˌɑːɹˈɑːɹ"
5,"meow","meow","word"," mɪˈoʊ"
6,"moo","moo","word"," mˈuː"
7,"ouch","ouch","word"," ˈaʊtʃ"
8,"quack quack","quack quack","word"," kwˈæk kwˈæk"
9,"uh oh","uh oh","word"," ˈʌ ˈoʊ"
10,"vroom","vroom","word"," vˈiːɹˈuːm"
11,"woof woof","woof woof","word"," wˈuːf wˈuːf"
12,"yum yum","yum yum","word"," jˈʌm jˈʌm"
13,"alligator","alligator","word"," ˈælɪɡˌeɪɾɚ"
14,"animal","animal","word"," ˈænɪməL"
15,"ant","ant","word"," ˈænt"
16,"bear","bear","word"," bˈɛɹ"
17,"bee","bee","word"," bˈiː"
18,"bird","bird","word"," bˈɜːd"
19,"bug","bug","word"," bˈʌɡ"
20,"bunny","bunny","word"," bˈʌni"
21,"butterfly","butterfly","word"," bˈʌɾɚflˌaɪ"
22,"cat","cat","word"," kˈæt"
23,"chicken","chicken (animal)","word"," tʃˈɪkɪn"
24,"cow","cow","word"," kˈaʊ"
25,"deer","deer","word"," dˈɪɹ"
26,"dog","dog","word"," dˈɑːɡ"
27,"donkey","donkey","word"," dˈɑːŋki"
28,"duck","duck","word"," dˈʌk"
29,"elephant","elephant","word"," ˈɛlɪfənt"
30,"fish","fish (animal)","word"," fˈɪʃ"
31,"frog","frog","word"," fɹˈɑːɡ"
32,"giraffe","giraffe","word"," dʒɪɹˈæf"
33,"goose","goose","word"," ɡˈuːs"
34,"hen","hen","word"," hˈɛn"
35,"horse","horse","word"," hˈɔːɹs"
36,"kitty","kitty","word"," kˈɪɾi"
37,"lamb","lamb","word"," lˈæm"
38,"lion","lion","word"," lˈaɪəɹn"
39,"monkey","monkey","word"," mˈʌnki"
40,"moose","moose","word"," mˈuːs"
41,"mouse","mouse","word"," mˈaʊs"
42,"owl","owl","word"," ˈaʊl"
43,"penguin","penguin","word"," pˈɛŋɡwɪn"
44,"pig","pig","word"," pˈɪɡ"
45,"pony","pony","word"," pˈoʊni"
46,"puppy","puppy","word"," pˈʌpi"
47,"rooster","rooster","word"," ɹˈuːstɚ"
48,"sheep","sheep","word"," ʃˈiːp"
49,"squirrel","squirrel","word"," skwˈɪɹəL"
50,"teddybear","teddybear","word"," tˈɛdɪbˌɛɹ"
51,"tiger","tiger","word"," tˈaɪɡɚ"
52,"turkey","turkey","word"," tˈɜːki"
53,"turtle","turtle","word"," tˈɜːɾəL"
54,"wolf","wolf","word"," wˈʊlf"
55,"zebra","zebra","word"," zˈiːbɹə"
56,"airplane","airplane","word"," ˈɛɹpleɪn"
57,"bicycle","bicycle","word"," baɪsˈɪkəL"
58,"boat","boat","word"," bˈoʊt"
59,"bus","bus","word"," bˈʌs"
60,"car","car","word"," kˈɑːɹ"
61,"firetruck","firetruck","word"," fˈaɪəɹtɹʌk"
62,"helicopter","helicopter","word"," hˈɛlɪkˌɑːptɚ"
63,"motorcycle","motorcycle","word"," mˈoʊɾəsˌaɪkəL"
64,"sled","sled","word"," slˈɛd"
65,"stroller","stroller","word"," stɹˈoʊlɚ"
66,"tractor","tractor","word"," tɹˈæktɚ"
67,"train","train","word"," tɹˈeɪn"
68,"tricycle","tricycle","word"," tɹˈaɪsaɪkəL"
69,"truck","truck","word"," tɹˈʌk"
70,"ball","ball","word"," bˈɔːl"
71,"balloon","balloon","word"," bəlˈuːn"
72,"bat","bat","word"," bˈæt"
73,"block","block","word"," blˈɑːk"
74,"book","book","word"," bˈʊk"
75,"bubbles","bubbles","word"," bˈʌbəLz"
76,"chalk","chalk","word"," tʃˈɔːk"
77,"crayon","crayon","word"," kɹˈeɪɑːn"
78,"doll","doll","word"," dˈɑːl"
79,"game","game","word"," ɡˈeɪm"
80,"glue","glue","word"," ɡlˈuː"
81,"pen","pen","word"," pˈɛn"
82,"pencil","pencil","word"," pˈɛnsɪl"
83,"play dough","play dough","word"," plˈeɪ dˈoʊ"
84,"present","present","word"," pɹˈɛzənt"
85,"puzzle","puzzle","word"," pˈʌzəL"
86,"story","story","word"," stˈoːɹi"
87,"toy","toy (object)","word"," tˈɔɪ"
88,"apple","apple","word"," ˈæpəL"
89,"applesauce","applesauce","word"," ˈæpəLsˌɔːs"
90,"banana","banana","word"," bɐnˈænə"
91,"beans","beans","word"," bˈiːnz"
92,"bread","bread","word"," bɹˈɛd"
93,"butter","butter","word"," bˈʌɾɚ"
94,"cake","cake","word"," kˈeɪk"
95,"candy","candy","word"," kˈændi"
96,"carrots","carrots","word"," kˈæɹəts"
97,"cereal","cereal","word"," sˈiəɹɪəL"
98,"cheerios","cheerios","word"," tʃˈɪɹɪˌoʊz"
99,"cheese","cheese","word"," tʃˈiːz"
100,"chicken","chicken (food)","word"," tʃˈɪkɪn"
101,"chocolate","chocolate","word"," tʃˈɑːklət"
102,"coffee","coffee","word"," kˈɔfi"
103,"coke","coke","word"," kˈoʊk"
104,"cookie","cookie","word"," kˈʊki"
105,"corn","corn","word"," kˈɔːɹn"
106,"cracker","cracker","word"," kɹˈækɚ"
107,"donut","donut","word"," dˈoʊnʌt"
108,"drink","drink (beverage)","word"," dɹˈɪŋk"
109,"egg","egg","word"," ˈɛɡ"
110,"fish","fish (food)","word"," fˈɪʃ"
111,"food","food","word"," fˈuːd"
112,"french fries","french fries","word"," fɹˈɛntʃ fɹˈaɪz"
113,"grapes","grapes","word"," ɡɹˈeɪps"
114,"green beans","green beans","word"," ɡɹˈiːn bˈiːnz"
115,"gum","gum","word"," ɡˈʌm"
116,"hamburger","hamburger","word"," hˈæmbɜːɡɚ"
117,"ice","ice","word"," ˈaɪs"
118,"ice cream","ice cream","word"," ˈaɪs kɹˈiːm"
119,"jello","jello","word"," dʒˈɛloʊ"
120,"jelly","jelly","word"," dʒˈɛli"
121,"juice","juice","word"," dʒˈuːs"
122,"lollipop","lollipop","word"," lˈɑːlɪpˌɑːp"
123,"meat","meat","word"," mˈiːt"
124,"melon","melon","word"," mˈɛlən"
125,"milk","milk","word"," mˈɪlk"
126,"muffin","muffin","word"," mˈʌfɪn"
127,"noodles","pasta","word"," nˈuːdəLz"
128,"nuts","nuts","word"," nˈʌts"
129,"orange","orange (food)","word"," ˈɔːɹɪndʒ"
130,"pancake","pancake","word"," pˈænkeɪk"
131,"peas","peas","word"," pˈiːz"
132,"peanut butter","peanut butter","word"," pˈiːnʌt bˈʌɾɚ"
133,"pickle","pickle","word"," pˈɪkəL"
134,"pizza","pizza","word"," pˈiːtsə"
135,"popcorn","popcorn","word"," pˈɑːpkɔːɹn"
136,"popsicle","popsicle","word"," pˈɑːpsɪkəL"
137,"potato chip","chips","word"," pətˈeɪɾoʊ tʃˈɪp"
138,"potato","potato","word"," pətˈeɪɾoʊ"
139,"pretzel","pretzel","word"," pɹɪtsˈɛl"
140,"pudding","pudding","word"," pˈʊdɪŋ"
141,"pumpkin","pumpkin","word"," pˈʌmpkɪn"
142,"raisin","raisin","word"," ɹˈeɪzən"
143,"salt","salt","word"," sˈɑːlt"
144,"sandwich","sandwich","word"," sˈændwɪtʃ"
145,"sauce","sauce","word"," sˈɔːs"
146,"soda","soda","word"," sˈoʊdə"
147,"soup","soup","word"," sˈuːp"
148,"spaghetti","pasta","word"," spæɡˈɛɾi"
149,"strawberry","strawberry","word"," stɹˈɔːbɛɹi"
150,"toast","toast","word"," tˈoʊst"
151,"tuna","tuna","word"," tjˈuːnə"
152,"vanilla","vanilla","word"," vænˈɪlə"
153,"vitamins","vitamins","word"," vˈaɪɾəmˌɪnz"
154,"water","water (beverage)","word"," wˈɔːɾɚ"
155,"yogurt","yogurt","word"," jˈɑːɡɜːt"
156,"beads","beads","word"," bˈiːdz"
157,"belt","belt","word"," bˈɛlt"
158,"bib","bib","word"," bˈɪb"
159,"boots","boots","word"," bˈuːts"
160,"button","button","word"," bˈʌɾən"
161,"coat","coat","word"," kˈoʊt"
162,"diaper","diaper","word"," dˈaɪəpɚ"
163,"dress","dress (object)","word"," dɹˈɛs"
164,"gloves","gloves","word"," ɡlˈʌvz"
165,"hat","hat","word"," hˈæt"
166,"jacket","jacket","word"," dʒˈækɪt"
167,"jeans","jeans","word"," dʒˈiːnz"
168,"mittens","mittens","word"," mˈɪɾənz"
169,"necklace","necklace","word"," nˈɛkləs"
170,"pajamas","pajamas","word"," pædʒˈɑːməz"
171,"pants","pants","word"," pˈænts"
172,"scarf","scarf","word"," skˈɑːɹf"
173,"shirt","shirt","word"," ʃˈɜːt"
174,"shoe","shoe","word"," ʃˈuː"
175,"shorts","shorts","word"," ʃˈɔːɹts"
176,"slipper","slipper","word"," slˈɪpɚ"
177,"sneaker","sneaker","word"," snˈiːkɚ"
178,"snowsuit","snowsuit","word"," snˈoʊsuːt"
179,"sock","sock","word"," sˈɑːk"
180,"sweater","sweater","word"," swˈɛɾɚ"
181,"tights","tights","word"," tˈaɪts"
182,"underpants","underpants","word"," ˌʌndɚpˈænts"
183,"zipper","zipper","word"," zˈɪpɚ"
184,"ankle","ankle","word"," ˈæŋkəL"
185,"arm","arm","word"," ˈɑːɹm"
186,"belly button","belly button","word"," bˈɛli bˈʌɾən"
187,"buttocks","butt","word"," bˈʌɾəks"
188,"cheek","cheek","word"," tʃˈiːk"
189,"chin","chin","word"," tʃˈɪn"
190,"ear","ear","word"," ˈɪɹ"
191,"eye","eye","word"," ˈaɪ"
192,"face","face","word"," fˈeɪs"
193,"finger","finger","word"," fˈɪŋɡɚ"
194,"foot","foot","word"," fˈʊt"
195,"hair","hair","word"," hˈɛɹ"
196,"hand","hand","word"," hˈænd"
197,"head","head","word"," hˈɛd"
198,"knee","knee","word"," nˈiː"
199,"leg","leg","word"," lˈɛɡ"
200,"lips","lips","word"," lˈɪps"
201,"mouth","mouth","word"," mˈaʊθ"
202,"nose","nose","word"," nˈoʊz"
203,"owie","owie","word"," ˈoʊi"
204,"penis","penis","word"," pˈiːnɪs"
205,"shoulder","shoulder","word"," ʃˈoʊldɚ"
206,"toe","toe","word"," tˈoʊ"
207,"tongue","tongue","word"," tˈʌŋ"
208,"tooth","tooth","word"," tˈuːθ"
209,"tummy","tummy","word"," tˈʌmi"
210,"vagina","vagina","word"," vədʒˈaɪnə"
211,"basket","basket","word"," bˈæskɪt"
212,"blanket","blanket","word"," blˈæŋkɪt"
213,"bottle","bottle","word"," bˈɑːɾəL"
214,"bowl","bowl","word"," bˈoʊl"
215,"box","box","word"," bˈɑːks"
216,"broom","broom","word"," bɹˈuːm"
217,"brush","brush (object)","word"," bɹˈʌʃ"
218,"bucket","bucket","word"," bˈʌkɪt"
219,"camera","camera","word"," kˈæmɚɹə"
220,"can","can (object)","word"," kˈæn"
221,"clock","clock","word"," klˈɑːk"
222,"comb","comb (object)","word"," kˈoʊm"
223,"cup","cup","word"," kˈʌp"
224,"dish","dish","word"," dˈɪʃ"
225,"fork","fork","word"," fˈɔːɹk"
226,"garbage","garbage","word"," ɡˈɑːɹbɪdʒ"
227,"glass","glass","word"," ɡlˈæs"
228,"glasses","glasses","word"," ɡlˈæsɪz"
229,"hammer","hammer","word"," hˈæmɚ"
230,"jar","jar","word"," dʒˈɑːɹ"
231,"keys","keys","word"," kˈiːz"
232,"knife","knife","word"," nˈaɪf"
233,"lamp","lamp","word"," lˈæmp"
234,"light","light","word"," lˈaɪt"
235,"medicine","medicine","word"," mˈɛdsən"
236,"money","money","word"," mˈʌni"
237,"mop","mop","word"," mˈɑːp"
238,"nail","nails","word"," nˈeɪl"
239,"napkin","napkin","word"," nˈæpkɪn"
240,"paper","paper","word"," pˈeɪpɚ"
241,"penny","penny","word"," pˈɛni"
242,"picture","picture","word"," pˈɪktʃɚ"
243,"pillow","pillow","word"," pˈɪloʊ"
244,"plant","plant","word"," plˈænt"
245,"plate","plate","word"," plˈeɪt"
246,"purse","purse","word"," pˈɜːs"
247,"radio","radio","word"," ɹˈeɪdɪˌoʊ"
248,"scissors","scissors","word"," sˈɪsɚz"
249,"soap","soap","word"," sˈoʊp"
250,"spoon","spoon","word"," spˈuːn"
251,"tape","tape","word"," tˈeɪp"
252,"telephone","telephone","word"," tˈɛlɪfˌoʊn"
253,"tissue","tissue","word"," tˈɪʃuː"
254,"toothbrush","toothbrush","word"," tˈuːθbɹʌʃ"
255,"towel","towel","word"," tˈaʊəL"
256,"trash","trash","word"," tɹˈæʃ"
257,"tray","tray","word"," tɹˈeɪ"
258,"vacuum","vacuum","word"," vˈækjuːm"
259,"walker","walker","word"," wˈɔːkɚ"
260,"watch","watch (object)","word"," wˈɑːtʃ"
261,"basement","basement","word"," bˈeɪsmənt"
262,"bathroom","bathroom","word"," bˈæθɹuːm"
263,"bathtub","bathtub","word"," bˈæθtʌb"
264,"bed","bed","word"," bˈɛd"
265,"bedroom","bedroom","word"," bˈɛdɹuːm"
266,"bench","bench","word"," bˈɛntʃ"
267,"chair","chair","word"," tʃˈɛɹ"
268,"closet","closet","word"," klˈɑːzɪt"
269,"couch","couch","word"," kˈaʊtʃ"
270,"crib","crib","word"," kɹˈɪb"
271,"door","door","word"," dˈoːɹ"
272,"drawer","drawer","word"," dɹˈɔːɹ"
273,"dryer","dryer","word"," dɹˈaɪɚ"
274,"garage","garage","word"," ɡɐɹˈɑːʒ"
275,"high chair","high chair","word"," hˈaɪ tʃˈɛɹ"
276,"kitchen","kitchen","word"," kˈɪtʃən"
277,"living room","living room","word"," lˈɪvɪŋ ɹˈuːm"
278,"oven","oven","word"," ˈʌvən"
279,"play pen","play pen","word"," plˈeɪ pˈɛn"
280,"porch","porch","word"," pˈɔːɹtʃ"
281,"potty","potty","word"," pˈɑːɾi"
282,"rocking chair","rocking chair","word"," ɹˈɑːkɪŋ tʃˈɛɹ"
283,"refrigerator","refrigerator","word"," ɹɪfɹˈɪdʒɚɹˌeɪɾɚ"
284,"room","room","word"," ɹˈuːm"
285,"shower","shower","word"," ʃˈaʊɚ"
286,"sink","sink","word"," sˈɪŋk"
287,"sofa","sofa","word"," sˈoʊfə"
288,"stairs","stairs","word"," stˈɛɹz"
289,"stove","stove","word"," stˈoʊv"
290,"table","table","word"," tˈeɪbəL"
291,"TV","tv","word"," tˌiːvˈiː"
292,"window","window","word"," wˈɪndoʊ"
293,"washing machine","washing machine","word"," wˈɑːʃɪŋ məʃˈiːn"
294,"backyard","yard","word"," bˈækjɑːɹd"
295,"cloud","cloud","word"," klˈaʊd"
296,"flag","flag","word"," flˈæɡ"
297,"flower","flower","word"," flˈaʊɚ"
298,"garden","garden","word"," ɡˈɑːɹdən"
299,"grass","grass","word"," ɡɹˈæs"
300,"hose","hose","word"," hˈoʊz"
301,"ladder","ladder","word"," lˈædɚ"
302,"lawn mower","lawn mower","word"," lˈɔːn mˈoʊɚ"
303,"moon","moon","word"," mˈuːn"
304,"pool","pool","word"," pˈuːl"
305,"rain","rain","word"," ɹˈeɪn"
306,"rock","rock (object)","word"," ɹˈɑːk"
307,"roof","roof","word"," ɹˈuːf"
308,"sandbox","sandbox","word"," sˈændbɑːks"
309,"shovel","shovel","word"," ʃˈʌvəL"
310,"sidewalk","sidewalk","word"," sˈaɪdwɔːk"
311,"sky","sky","word"," skˈaɪ"
312,"slide","slide (object)","word"," slˈaɪd"
313,"snow","snow","word"," snˈoʊ"
314,"snowman","snowman","word"," snˈoʊmən"
315,"sprinkler","sprinkler","word"," spɹˈɪŋklɚ"
316,"star","star","word"," stˈɑːɹ"
317,"stick","stick","word"," stˈɪk"
318,"stone","stone","word"," stˈoʊn"
319,"street","street","word"," stɹˈiːt"
320,"sun","sun","word"," sˈʌn"
321,"swing","swing (object)","word"," swˈɪŋ"
322,"tree","tree","word"," tɹˈiː"
323,"water","water (not beverage)","word"," wˈɔːɾɚ"
324,"wind","wind","word"," wˈɪnd"
325,"beach","beach","word"," bˈiːtʃ"
326,"camping","camping","word"," kˈæmpɪŋ"
